SCORE,DAMAGE,COOLDOWN,DISPERSION,RANGE
95,76.507,-5.81,-41.938,-14.092
62,113.186,-5.614,-46.037,-0.425
96,41.65,-4.923,-34.152,-3.792
49,97.07,-2.145,-48.796,5.576
100,40.634,-6.722,-12.652,-11.635
39,95.361,-2.639,-46.072,4.759
61,84.45,-5.495,-49.275,17.531
58,118.299,-2.823,-15.377,-12.658
80,90.96,-7.487,-33.926,-9.705
99,22.93,-8.262,-15.241,5.994
28,109.397,-1.009,-21.068,10.895
100,69.837,-7.625,-46.308,-12.159
100,20.435,-4.118,-18.893,-18.496
100,70.22,-6.644,-33.071,-18.756
100,21.128,-9.13,-36.254,10.694
80,40.43,-4.246,-31.74,6.26
99,81.066,-8.738,-42.973,-11.685
72,68.58,-4.227,-15.976,-2.958
100,29.88,-8.872,-29.045,5.193
100,27.421,-5.924,-40.438,0.568
35,113.539,-0.036,-47.49,7.684
22,106.542,-0.319,-20.762,-2.814
80,74.323,-7.132,-27.443,-5.908
100,21.211,-4.831,-16.021,-12.989
78,31.521,-9.89,-40.538,19.164
28,118.444,-2.051,-18.2,-5.328
59,55.016,-2.946,-48.531,11.343
75,20.559,-0.123,-26.048,-4.566
72,98.341,-6.846,-36.6,4.047
35,91.324,-2.745,-12.28,13.757
100,27.063,-9.298,-44.094,4.404
47,113.422,-6.685,-12.115,-1.552
96,39.334,-6.223,-37.998,2.043
55,89.156,-3.971,-23.141,4.412
79,85.623,-9.837,-21.764,1.642
92,88.535,-3.326,-44.714,-19.386
78,88.956,-8.995,-29.534,7.082
61,111.952,-6.217,-23.95,10.564
31,103.763,-1.259,-45.453,-8.948
62,65.327,-0.637,-22.719,-17.21
86,38.531,-6.272,-48.206,14.341
59,107.277,-3.003,-17.49,-7.769
71,101.699,-2.621,-42.13,-12.417
56,80.958,-2.462,-27.312,7.096
28,99.291,-0.627,-25.335,-15.17
100,20.713,-7.33,-24.51,-3.846
77,99.252,-6.832,-11.498,9.921
66,114.268,-7.374,-20.705,-0.258
28,116.507,-1.163,-11.908,8.616
21,80.041,-1.877,-27.084,19.249
67,77.735,-8.119,-27.852,17.894
88,115.647,-8.935,-44.691,-18.005
80,72.847,-7.523,-40.812,-1.989
88,117.843,-9.933,-31.687,-19.144
81,76.347,-7.171,-12.638,-4.529
78,38.52,-9.543,-31.187,11.961
49,49.096,-1.139,-23.868,-2.941
56,89.872,-6.716,-24.047,7.127
41,102.922,-1.546,-10.731,0.26
72,113.096,-8.079,-41.3,4.229
81,104.396,-5.794,-20.12,-17.847
27,108.0832,0.4669187,-27.06901,0.9290183
31,105.1574,0.1201886,-27.37854,0.8094358
60,81.665,-1.576,-29.809,-18.469
80,86.752,-9.776,-48.699,6.376
42,114.417,-0.944,-44.248,-7.783
76,73.332,-4.874,-45.175,-5.556
19,41.539,-1.6,-11.505,19.777
60,108.903,-8.674,-43.509,14.755
21,102.0639,-0.360992,-27.76006,0.5009835
35,107.597,-0.527,-23.897,-6.972
100,36.147,-5.801,-26.501,-17.103
100,36.693,-9.627,-34.498,-9.948
66,74.785,-2.151,-29.807,-5.648
72,100.801,-5.809,-34.455,9.409
100,25.883,-4.639,-39.895,-14.686
78,39.856,-6.624,-46.965,12.464
77,103.496,-6.771,-30.232,-13.88
100,58.972,-4.709,-47.977,-18.451
54,55.903,-1.608,-43.905,4.159
100,30.695,-2.695,-14.988,-7.017
100,24.032,-6.153,-27.985,-5.145
100,86.489,-9.984,-41.783,-16.922
35,96.919,-0.387,-10.814,-19.089
70,52.454,-3.347,-31.632,6.566
50,38.604,-2.847,-23.284,14.074
41,74.758,-2.748,-32.435,6.037
63,80.818,-4.991,-17.44,4.856
100,34.391,-8.42,-21.972,-2.436
70,91.217,-2.299,-48.831,-1.807
52,110.958,-3.534,-32.387,18.716
42,90.752,-3.303,-29.974,0.729
96,26.016,-2.414,-28.581,-3.18
95,58.346,-2.325,-10.466,-19.371
100,54.256,-4.57,-49.529,-14.322
59,81.44,-2.242,-11.717,-18.848
100,28.83,-2.152,-43.722,-16.379
80,93.361,-6.407,-18.962,-17.65
77,64.985,-7.135,-15.187,-0.637
54,87.454,-1.786,-26.95,-13.116
52,59.888,-1.23,-37.58,-7.498
51,72.322,-1.761,-30.912,-5.885
81,86.941,-7.314,-18.981,-8.323
32,97.697,-3.091,-16.177,6.487
100,30.068,-6.975,-12.882,-2.716
46,54.456,-1.755,-17.645,7.004
88,76.406,-6.149,-21.562,-12.094
81,112.792,-6.362,-25.468,-17.744
71,75.42,-9.051,-26.64,12.119
62,90.093,-3.053,-34.919,7.713
56,118.975,-3.824,-36.868,-2.611
59,24.094,-4.866,-24.319,18.819
29,109.498,-0.004,-25.028,17.727
18,45.292,-0.567,-27.05,9.453
68,93.367,-5.58,-46.542,0.065
34,76.061,-3.079,-44.856,19.502
47,115.033,-3.607,-31.64,5.745
18,42.004,-0.188,-45.19,6.541
54,98.117,-4.405,-37.088,8.278
78,25.389,-8.16,-24.707,16.262
53,83.444,-8.857,-27.616,15.414
54,42.176,-3.571,-34.673,17.575
78,35.2,-6.954,-46.795,16.083
95,43.59,-2.87,-26.853,-7.876
77,26.838,-5.98,-34.238,11.74
66,112.798,-3.69,-25.563,-9.798
71,114.544,-5.343,-16.476,-14.091
69,30.645,-6.838,-34.095,19.174
100,53.196,-3.886,-37.742,-12.226
17,118.225,-1.485,-31.754,16.657
33,118.589,-0.424,-46.899,9.586
83,23.22,-3.573,-46.158,9.447
71,61.319,-6.87,-13.053,7.62
66,32.812,-7.214,-14.766,15.584
71,100.994,-4.27,-37.804,-8.391
60,112.975,-2.874,-20.344,-10.59
88,75.877,-6.929,-20.795,-10.572
66,98.114,-5.861,-16.109,9.07
61,41.834,-3.312,-20.979,6.276
100,48.982,-9.202,-49.376,-4.081
100,60.596,-9.572,-20.665,-11.718
